threshold,sensitivity,specificity
-1.009322794405135,0.4827586206896552,0.717948717948718
-1.0088191118545913,0.4827586206896552,0.7222222222222222
-1.0080635880287754,0.47413793103448276,0.7222222222222222
-1.0073080642029595,0.46551724137931033,0.7264957264957265
-1.0065525403771436,0.46551724137931033,0.7307692307692307
-1.0057970165513277,0.46551724137931033,0.7350427350427351
-1.005293334000784,0.46551724137931033,0.7393162393162394
-1.0047896514502401,0.45689655172413796,0.7478632478632479
-1.004285968899696,0.45689655172413796,0.7521367521367521
-1.00353044507388,0.4482758620689655,0.7564102564102564
-1.0025230799727924,0.4482758620689655,0.7606837606837606
-1.0017675561469765,0.4482758620689655,0.7649572649572649
-1.0005083497706169,0.4482758620689655,0.7777777777777778
-0.9987454608437132,0.4396551724137931,0.7777777777777778
